Open,High,Low,Close,Volume,Dividends,Stock Splits
2568.800048828125,2581.800048828125,2565.0,2581.300048828125,31,0.0,0.0
2580.39990234375,2580.39990234375,2580.39990234375,2580.39990234375,28,0.0,0.0
2581.199951171875,2581.800048828125,2564.300048828125,2564.300048828125,22,0.0,0.0
2570.699951171875,2570.699951171875,2549.199951171875,2570.699951171875,25,0.0,0.0
2566.0,2588.0,2566.0,2588.0,99,0.0,0.0
2590.39990234375,2621.800048828125,2590.39990234375,2619.89990234375,17,0.0,0.0
2626.5,2626.5,2626.5,2626.5,9,0.0,0.0
2636.800048828125,2662.300048828125,2625.5,2651.199951171875,35,0.0,0.0
2656.300048828125,2664.199951171875,2649.300048828125,2659.199951171875,175,0.0,0.0
2662.300048828125,2669.89990234375,2660.800048828125,2669.89990234375,17216,0.0,0.0
2670.0,2672.10009765625,2641.699951171875,2644.300048828125,4228,0.0,0.0
2660.89990234375,2662.10009765625,2623.199951171875,2636.10009765625,973,0.0,0.0
2631.39990234375,2670.89990234375,2631.39990234375,2667.300048828125,153,0.0,0.0
2650.60009765625,2657.199951171875,2640.0,2647.10009765625,72,0.0,0.0
2642.800048828125,2657.10009765625,2640.0,2657.10009765625,354,0.0,0.0
2656.0,2667.0,2639.0,2645.800048828125,114,0.0,0.0
2648.699951171875,2657.39990234375,2639.0,2644.800048828125,284,0.0,0.0
2639.0,2639.0,2609.300048828125,2615.0,687,0.0,0.0
2603.0,2607.699951171875,2603.0,2606.0,152,0.0,0.0
2602.5,2628.300048828125,2602.5,2620.60009765625,320,0.0,0.0
2647.39990234375,2679.0,2645.300048828125,2674.199951171875,162627,0.0,0.0
