Open,High,Low,Close,Volume,Dividends,Stock Splits
371.94000244140625,374.989990234375,370.55999755859375,374.42999267578125,2368300,0.0,0.0
375.55999755859375,382.0,375.510009765625,379.989990234375,2514700,0.0,0.0
382.0,384.0,379.5299987792969,382.010009765625,2877800,0.0,0.0
383.42999267578125,387.94000244140625,381.67999267578125,383.239990234375,2947600,0.0,0.0
384.0899963378906,392.6700134277344,381.07000732421875,384.010009765625,3549400,0.0,0.0
390.8399963378906,391.8699951171875,387.010009765625,390.3399963378906,3753500,0.0,0.0
388.3299865722656,391.8299865722656,387.0,389.8599853515625,6584200,0.0,0.0
390.8299865722656,392.6499938964844,387.260009765625,391.9599914550781,2502300,0.0,0.0
394.70001220703125,401.1099853515625,393.6300048828125,400.6600036621094,4057700,0.0,0.0
400.6600036621094,400.6600036621094,395.6199951171875,396.92999267578125,2787300,0.0,0.0
399.5,400.0,395.489990234375,396.70001220703125,2849500,0.0,0.0
399.6499938964844,403.5400085449219,398.30999755859375,399.5299987792969,2452300,0.0,0.0
400.20001220703125,405.30999755859375,399.0199890136719,405.20001220703125,3442000,0.0,0.0
404.0199890136719,410.55999755859375,401.4100036621094,409.04998779296875,3476200,0.0,0.0
407.70001220703125,411.4599914550781,404.9599914550781,411.260009765625,3431300,0.0,0.0
409.0,412.9700012207031,406.79998779296875,411.5799865722656,3320700,0.0,0.0
410.07000732421875,411.82000732421875,399.45001220703125,408.3599853515625,3989000,0.0,0.0
404.8900146484375,409.80999755859375,401.239990234375,408.05999755859375,3267800,0.0,0.0
409.79998779296875,415.2900085449219,408.44000244140625,414.17999267578125,3693900,0.0,0.0
420.0,420.0299987792969,410.75,416.07000732421875,3627800,0.0,0.0
409.7200012207031,414.4800109863281,407.6300048828125,409.9599914550781,3040800,0.0,0.0
410.55999755859375,413.1400146484375,408.8399963378906,411.8999938964844,2717100,0.0,0.0
