Open,High,Low,Close,Volume,Dividends,Stock Splits
5557.47998046875,5600.7099609375,5535.5,5595.759765625,3655070000,0.0,0.0
5603.33984375,5636.27001953125,5601.64990234375,5626.02001953125,3500790000,0.0,0.0
5615.2099609375,5636.0498046875,5604.52978515625,5633.08984375,3437070000,0.0,0.0
5655.509765625,5670.81005859375,5614.0498046875,5634.580078125,3443600000,0.0,0.0
5641.68017578125,5689.75,5615.080078125,5618.259765625,3691390000,0.0,0.0
5702.6298828125,5733.56982421875,5686.419921875,5713.64013671875,4024530000,0.0,0.0
5709.64013671875,5715.14013671875,5674.490234375,5702.5498046875,7867260000,0.0,0.0
5711.89990234375,5725.35986328125,5704.22021484375,5718.56982421875,3529550000,0.0,0.0
5727.66015625,5735.31982421875,5698.990234375,5732.93017578125,3872710000,0.0,0.0
5733.64990234375,5741.02978515625,5712.06005859375,5722.259765625,3624910000,0.0,0.0
5762.22021484375,5767.3701171875,5721.009765625,5745.3701171875,4391180000,0.0,0.0
5755.35986328125,5763.77978515625,5727.33984375,5738.169921875,3898530000,0.0,0.0
5726.52001953125,5765.14013671875,5703.52978515625,5762.47998046875,4425730000,0.0,0.0
5757.72998046875,5757.72998046875,5681.27978515625,5708.75,4025180000,0.0,0.0
5698.14013671875,5719.6298828125,5674.0,5709.5400390625,3829050000,0.0,0.0
5698.18994140625,5718.77978515625,5677.3701171875,5699.93994140625,3597450000,0.0,0.0
5737.47998046875,5753.2099609375,5702.830078125,5751.06982421875,3479400000,0.0,0.0
5737.7998046875,5739.33984375,5686.85009765625,5695.93994140625,3637790000,0.0,0.0
5719.14013671875,5757.60009765625,5714.56005859375,5751.1298828125,3393400000,0.0,0.0
5751.7998046875,5796.7998046875,5745.02001953125,5792.0400390625,3650340000,0.0,0.0
5778.35986328125,5795.02978515625,5764.759765625,5780.0498046875,3208790000,0.0,0.0
5775.08984375,5822.1298828125,5775.08984375,5815.02978515625,3208720000,0.0,0.0
